particles,4 Threads,8 Threads,16 Threads,32 Threads,64 Threads,128 Threads,168 Threads
160,2185.75,1334.15,871.07,688.90,531.52,742.02,582.54
320,4320.57,2672.71,1738.93,1337.20,999.92,1306.24,1146.24
640,8196.96,5212.34,3529.44,2551.54,1912.89,2605.20,2290.00
960,11746.50,7392.89,5027.87,3596.64,2821.21,3489.37,3442.42
1280,15477.00,10500.80,6861.73,4869.05,3751.82,5262.99,5246.21
1600,19970.40,12580.40,8458.43,5975.63,4715.49,6355.78,5797.68
1920,24695.10,15626.00,10402.60,7384.23,5629.95,7927.30,7019.67
2240,28457.90,18415.00,12067.70,8621.72,6698.73,9701.53,7918.65
2560,31579.20,21394.90,13738.40,9856.57,7503.01,11431.70,9155.09
2880,36419.10,22869.70,15321.40,11022.40,8603.09,12149.40,10537.20
