particles,4 Threads,8 Threads,16 Threads,32 Threads,64 Threads,128 Threads,168 Threads
160,2743.31,1945.72,1279.35,949.62,785.54,849.99,830.33
320,5381.89,3762.18,2538.65,1890.71,1534.14,1706.57,1665.69
640,10663.40,7830.45,5103.94,3755.96,3074.17,3367.67,3291.28
960,16133.80,11219.80,7646.22,5563.35,4513.29,5016.23,4930.07
1280,21388.30,15032.70,10067.90,7430.79,6074.25,6483.49,6616.16
1600,26487.50,18738.10,12599.70,9245.24,7487.70,8312.45,8188.12
1920,31969.00,22849.20,14962.30,10989.70,9025.99,10015.50,10034.30
2240,37246.50,27069.30,17601.90,12920.00,10634.40,11640.30,11583.50
2560,42984.80,30870.10,20175.90,14603.00,11973.20,13311.00,13319.90
2880,48068.80,33585.00,22418.40,16562.90,13567.70,15092.90,15030.80
